fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails.currentIcuCovid,metrics.icuHeadroomDetails.currentIcuCovidMethod,metrics.icuHeadroomDetails.currentIcuNonCovid,metrics.icuHeadroomDetails.currentIcuNonCovidMethod,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel
2,US,AK,,state,,iso1:us#iso2:us-ak,,731545,0.104,other,100.9,0.06,1.15,0.1,0.72,49,actual,59,actual,0.85,5,2,5,2,2,3,2,99590,452,144999,2895671,235,1853,1177,217,0.58,127,108,49,0.676923077,882,1024575,411978,356784,9/18/2021,https://covidactnow.org/us/alaska-ak,0.563,0.488,1,763376,3
1,US,AL,,state,,iso1:us#iso2:us-al,,4903185,0.175,other,68.5,0.02,0.93,0.1,1.01,744,actual,869,actual,1,3,2,3,2,1,3,3,762274,13048,719795,4850855,404,19167,12339,2445,0.6,1607,1613,744,0.7,2974,6525240,2535635,2010919,9/18/2021,https://covidactnow.org/us/alabama-al,0.517,0.41,192,4383430,3
5,US,AR,,state,,iso1:us#iso2:us-ar,,3017804,0.099,other,50.2,0.1,0.93,0.1,0.85,382,actual,528,actual,0.93,3,1,3,2,1,3,3,482743,7413,299261,3111239,790,13284,7186,1086,0.55,980,910,382,0.61,1809,3925390,1656649,1336396,9/18/2021,https://covidactnow.org/us/arkansas-ar,0.549,0.443,18,2938812,3
4,US,AZ,,state,,iso1:us#iso2:us-az,,7278717,0.11,other,37.5,0.03,0.95,0.1,0.41,530,actual,885,actual,0.65,3,2,3,2,1,0,0,1060263,19379,1081945,8765433,396,18286,12653,2040,0.6,2165,1415,530,0.829018663,2830,9711660,4252340,3647534,9/18/2021,https://covidactnow.org/us/arizona-az,0.584,0.501,19,8045806,3
6,US,CA,,state,,iso1:us#iso2:us-ca,,39512223,0.048,other,25.5,0.21,0.9,0.1,0.56,1808,actual,4016,actual,0.8,3,1,3,1,0,1,1,4637212,67945,4523681,69451342,10600,99574,52186,6846,0.6,7235,5824,1808,0.59,8138,57390915,27860963,22769456,9/18/2021,https://covidactnow.org/us/california-ca,0.705,0.576,123,49458723,3
8,US,CO,,state,,iso1:us#iso2:us-co,,5758736,0.063,other,34.3,0.13,1.04,0.1,0.51,346,actual,668,actual,0.76,3,1,3,1,1,1,1,651581,7547,637319,9017531,1300,13464,8560,1007,0.63,1341,1014,346,0.804313519,2145,8069035,3727679,3361590,9/18/2021,https://covidactnow.org/us/colorado-co,0.647,0.584,24,7022748,3
9,US,CT,,state,,iso1:us#iso2:us-ct,,3565287,0.033,other,21.7,0.22,1.12,0.1,0.19,97,actual,532,actual,0.6,2,1,2,1,2,0,0,383518,8463,504270,9897739,860,8238,7095,403,0.68,1052,629,97,0.65,1544,5522325,2678672,2411037,9/18/2021,https://covidactnow.org/us/connecticut-ct,0.751,0.676,16,4942639,3
11,US,DC,,state,,iso1:us#iso2:us-dc,,705749,0.029,other,38.2,0.2,1.16,0.11,0.22,24,actual,246,actual,0.76,3,0,3,1,2,0,1,58851,1167,82727,2409221,268,4623,2857,151,0.76,353,270,24,0.828985507,202,1200485,489465,416090,9/18/2021,https://covidactnow.org/us/district_of_columbia-dc,0.694,0.59,0,976016,3
10,US,DE,,state,,iso1:us#iso2:us-de,,973764,0.087,other,47.9,0.09,1.06,0.1,0.6,39,actual,134,actual,0.87,3,1,3,2,1,1,3,127222,1913,142560,2291467,211,4052,2805,277,0.71,199,173,39,0.73,618,1529095,637298,552883,9/18/2021,https://covidactnow.org/us/delaware-de,0.654,0.568,0,1181812,3
12,US,FL,,state,,iso1:us#iso2:us-fl,,21477737,0.138,other,50.5,0.05,0.86,0.1,0.78,2458,actual,3499,actual,0.89,3,2,3,2,0,3,3,3481293,51240,4071064,34143472,2600,76852,48746,9592,0.76,6665,5957,2458,0.76,11290,31909365,14156730,11966293,9/18/2021,https://covidactnow.org/us/florida-fl,0.659,0.557,429,26079631,3
